 Bit Depth   ROP m/hr        ROP        WOB        RPM     TORQUE        SPP    FLWpmps T GAS main   C1  main   C2  main   C3  main   iC4 main   nC4 main   iC5 main   nC5 main 
        ft      ft/hr       mn/f       klbs        rpm      lb*ft        psi        gpm   Units_20        ppm        ppm        ppm        ppm        ppm        ppm        ppm 
    1185.0     142.60       0.42        2.5        148       3112       1445        743        6.0       1182          0          0          0          0          0          0 
    1190.0     168.32       0.36        0.3        149       2626       1431        743        5.4       1076          0          0          0          0          0          0 
    1195.0     173.01       0.35        1.8        149       2809       1442        743        5.5       1083          0          0          0          0          0          0 
    1200.0     171.40       0.35        0.5        149       2912       1441        743        5.6       1088          0          0          0          0          0          0 
    1205.0     174.86       0.34        1.5        149       2841       1438        743        5.5       1088          0          0          0          0          0          0 
    1210.0     175.30       0.34        2.5        149       2765       1437        743        3.6        508          0          0          0          0          0          0 
    1215.0     141.08       0.43        1.0        141       2594       1414        743        5.9       1168          0          0          0          0          0          0 
    1220.0     166.69       0.36        1.2        150       2964       1446        743        6.2       1212          0          0          0          0          0          0 
    1225.0     170.85       0.35        0.4        150       2273       1488        743        7.2       1356          0          0          0          0          0          0 
    1230.0     161.09       0.37        1.2        150       2741       1520        743        8.1       1578          0          0          0          0          0          0 
    1235.0     172.74       0.35        1.4        150       2951       1541        743        8.1       1581          0          0          0          0          0          0 
    1240.0     180.78       0.33        1.2        150       2758       1552        743        5.2       1052          0          0          0          0          0          0 
    1245.0     171.16       0.35        1.5        150       2591       1565        743        7.7       1516          0          0          0          0          0          0 
    1250.0     160.91       0.37        0.7        145       3138       1534        743        8.8       1741          0          0          0          0          0          0 
    1255.0     169.80       0.35        0.6        151       2803       1583        743        9.6       1809          0          0          0          0          0          0 
    1260.0     169.45       0.35        1.2        151       2810       1595        743       15.1       2812          0          0          0          0          0          0 
    1265.0     172.89       0.35        0.9        151       3058       1612        743       16.6       3238          0          0          0          0          0          0 
    1270.0     172.69       0.35        3.0        151       3310       1608        743       14.3       3238          0          0          0          0          0          0 
    1275.0     169.82       0.35        2.8        151       2821       1623        743        9.4       1667          0          0          0          0          0          0 
    1280.0     151.57       0.40        2.0        141       2850       1589        743       12.7       2480          0          0          0          0          0          0 
    1285.0     169.82       0.35        2.8        151       2821       1623        743       10.8       2008          0          0          0          0          0          0 
    1290.0     166.98       0.36        4.4        149       2941       1618        743       16.7       3222         11          0          0          0          0          0 
    1295.0     157.93       0.38        5.6        149       2910       1622        743       18.2       3564         12          0          0          0          0          0 
    1300.0     172.12       0.35        5.2        149       2982       1604        743       17.8       3538         12          0          0          0          0          0 
    1305.0     174.52       0.34        4.5        149       2732       1622        743       13.4       2820          0          0          0          0          0          0 
    1310.0     162.87       0.37        4.5        146       2857       1629        743       21.5       4232         14          0          0          0          0          0 
    1315.0     171.49       0.35        3.4        149       2919       1614        743       22.0       4336         16          0          0          0          0          0 
    1320.0      57.68       1.04       10.4         98       3875       1654        743       20.3       4275         15          0          0          0          0          0 
    1325.0     162.87       0.37        4.5        146       2857       1629        743        8.3       1778          0          0          0          0          0          0 
    1330.0     172.63       0.35        3.1        149       2775       1656        743        8.2       1631          0          0          0          0          0          0 
    1335.0     176.34       0.34        4.4        149       2798       1680        743       13.4       2294          0          0          0          0          0          0 
    1340.0     166.61       0.36        4.4        149       2834       1672        743        8.8       1635          0          0          0          0          0          0 
    1345.0     149.11       0.40        3.9        148       3011       1659        743       10.1       2177          0          0          0          0          0          0 
    1350.0     170.86       0.35        5.3        149       3228       1671        743       10.3       2188          0          0          0          0          0          0 
    1355.0     169.43       0.35        5.2        149       3217       1672        743       10.5       2186          0          0          0          0          0          0 
