 Bit Depth   ROP m/hr        ROP        WOB        RPM     TORQUE        SPP    FLWpmps T GAS main   C1  main   C2  main   C3  main   iC4 main   nC4 main   iC5 main   nC5 main 
        ft      ft/hr       mn/f       klbs        rpm      lb*ft        psi        gpm   Units_20        ppm        ppm        ppm        ppm        ppm        ppm        ppm 
    1105.0     190.42       0.32        5.8         70       3734       1892        776        5.9       1119          0          0          0          0          0          0 
    1110.0     188.20       0.32        5.3         70       4991       1884        776        8.1       1552          0          0          0          0          0          0 
    1115.0     185.11       0.32        6.1         70       3622       1875        776        8.2       1552          0          0          0          0          0          0 
    1120.0     160.81       0.37        3.0         69       2972       1865        776        7.5       1494          0          0          0          0          0          0 
    1125.0     188.03       0.32        3.4         69       3753       1857        776        5.2       1068          0          0          0          0          0          0 
    1130.0     184.92       0.32        3.1         69       3506       1863        776        4.0        860          0          0          0          0          0          0 
    1135.0     188.13       0.32        3.4         69       3939       1861        776        7.4       1450          0          0          0          0          0          0 
    1140.0     184.99       0.32        2.7         69       3575       1841        776        8.2       1640          0          0          0          0          0          0 
    1145.0     189.01       0.32        2.7         69       3582       1844        776        8.7       1747          0          0          0          0          0          0 
    1150.0     171.02       0.35        2.8         68       4783       1828        776        9.6       1887          0          0          0          0          0          0 
    1155.0     173.60       0.35        2.1         70       3158       1833        776        7.9       1648          0          0          0          0          0          0 
    1160.0     190.22       0.32        2.1         70       2984       1829        776        4.7       1087          0          0          0          0          0          0 
    1165.0     182.56       0.33        2.5         70       3371       1836        776        6.0       1112          0          0          0          0          0          0 
    1170.0     190.41       0.32        2.1         70       3006       1826        776        8.3       1553          0          0          0          0          0          0 
    1175.0     181.38       0.33        1.8         70       3145       1830        776        8.9       1779          0          0          0          0          0          0 
    1180.0     152.88       0.39        2.0         70       2627       1830        776       10.3       2100          0          0          0          0          0          0 
    1185.0     186.32       0.32        1.4         70       3089       1821        776        9.9       2078          0          0          0          0          0          0 
    1190.0      20.99       2.86       11.6         54       4526       1783        766        7.2       1577          0          0          0          0          0          0 
    1195.0     138.91       0.43        0.9         61       3060       1629        731        1.1        281          0          0          0          0          0          0 
    1200.0     152.97       0.39        1.0         70       3346       1800        774        1.3        298          0          0          0          0          0          0 
    1205.0     189.22       0.32        2.4         62       5233       1808        775        2.5        433          0          0          0          0          0          0 
    1210.0     173.35       0.35        3.6         60       3724       1808        775        4.2        850          0          0          0          0          0          0 
    1215.0     139.52       0.43        2.5         62       3041       1810        774        5.4       1099          0          0          0          0          0          0 
    1220.0     182.89       0.33        3.5         69       3697       1823        775        2.9        620          0          0          0          0          0          0 
    1225.0     165.20       0.36        3.1         69       3456       1823        775        3.0        639          0          0          0          0          0          0 
    1230.0     179.21       0.33        1.3         69       3202       1822        775        4.3        834          0          0          0          0          0          0 
    1235.0      53.69       1.12        6.0         63       4643       1812        775        7.8       1551          0          0          0          0          0          0 
    1240.0     184.49       0.33        1.2         60       3103       1806        775        6.1       1349          0          0          0          0          0          0 
    1245.0     139.40       0.43        1.4         63       2532       1781        767        7.3       1409          0          0          0          0          0          0 
    1250.0     162.23       0.37        1.2         70       3153       1788        764        2.1        534          0          0          0          0          0          0 
    1255.0     185.22       0.32        2.4         70       3625       1828        771        1.3        398          0          0          0          0          0          0 
    1260.0     190.26       0.32        0.5         70       2817       1830        771        2.9        617          0          0          0          0          0          0 
    1265.0     177.19       0.34        1.6         70       3222       1843        771        5.3        921          0          0          0          0          0          0 
    1270.0     185.79       0.32        1.8         70       3204       1853        771        7.9       1630          0          0          0          0          0          0 
    1275.0     181.43       0.33        1.1         70       3161       1844        771        8.4       1721          0          0          0          0          0          0 
    1280.0     122.97       0.49        1.7         70       2888       1841        771       11.1       2289          0          0          0          0          0          0 
    1285.0      52.05       1.15        7.2         63       4623       1856        771        6.4       1263          0          0          0          0          0          0 
    1290.0     155.42       0.39        0.6         70       3043       1862        771        6.2       1243          0          0          0          0          0          0 
    1295.0     180.24       0.33        0.6         70       2926       1856        771        4.6        969          0          0          0          0          0          0 
    1300.0     179.87       0.33        0.8         70       3104       1849        771        5.7        954          0          0          0          0          0          0 
    1305.0     112.08       0.54        1.1         70       2857       1858        771        7.3       1422          0          0          0          0          0          0 
    1310.0     119.42       0.50        0.8         70       2917       1850        771        9.0       1847          0          0          0          0          0          0 
    1315.0     179.21       0.33        0.7         71       3299       1859        771        5.9       1192          0          0          0          0          0          0 
